Entry	CAZy
A0A0G4N2G1	
A0A0L6JPW0	
A0A0P7AJB5	
A0A124HXU8	
A0A1D8PB11	
A0A1G6KHA2	
A0A1H6ZDZ7	
A0A1I4JXW2	
A0A1M7L7A0	
A0A1P8B8F8	CBM22;GH10;
A0A1S9DGE9	
A0A1S9RD97	
A0A1W0ACZ7	
A0A1Y1V5W3	
A0A1Y1WYJ8	
A0A1Y1XDU9	
A0A229XZ36	
A0A2I1BUZ0	
A0A2T0VZS1	
A0A2T5M581	
A0A2V3WEV0	
A0A317L2S5	
A0A318XRS8	
A0A319DEU7	
A0A368YB91	
A0A384JXV5	
A0A384K474	
A0A397G4P5	
A0A397G7N9	
A0A397H5T7	
A0A3A9Z0T7	
A0A3M7FNB9	
A0A3M9YIB9	
A0A3R8S3F4	
A0A444RJ16	
A0A4P7SHH3	
A0A4Q7UE39	
A0A4R8PS40	
A0A4R8R2A1	
A0A4R8TTG4	
A0A4U0XRA2	
A0A4U7JFN8	
A0A505DJ53	
A0A511X2H9	
A0A561VZY3	
A0A5N5QS48	
A0A5N5QTS0	
A0A5Q2TRK3	
A0A5R9FJ34	
A0A6G1LWK5	
A0A6M1LBX0	
A0A6N4SLB9	
A0A6N7R227	
A0A6V8KIS9	
A0A7C8JTH6	
A0A7C8MS84	
A0A7H1Q139	
A0A7Y6DXR6	
A0A841RP60	
A0A8E0UYY3	
A0A8H3BTG0	
A0A8H3DTT0	
A0A8H3N2H1	
A0A8H4HB84	
A0A8H5BRP6	
A0A8H6PBY7	
A0A8H6PNK1	
A0A8H6R0P9	
A0A8H6UPL6	
A0A8H6ZKL5	
A0A8H6ZKQ0	
A0A8T9CB92	
A0A8T9CR80	
A0A940WSR4	
A0A9J6RFV3	
A0A9P3BEQ8	
A0A9P3BIM7	
A0A9P3BYQ9	
A0A9P5KA60	
A0A9P8EIM4	
A0A9W6DNL2	
A0A9W8RY20	
A0A9W8WDV3	
A0A9X3WNU1	
A0AAD4ESK9	
A0AAD4F359	
A0AAD5VFH5	
A0AAD9AMM4	
A0AAD9HXS7	
A0AAD9HZ54	
A0AAI8KVK4	
A0AAN4PEW2	
A0AAN4T6H3	
A0AAN6BNI5	
A0AAN6BRC5	
A0AAN8N7M3	
A0AAN8RKU5	
A0AAV9V3U2	
A0AAV9WXN5	
A0AAW0EEG7	
A1CCU0	GH11;
A1CHQ0	
A1CU59	
A1CUK2	
A1CX14	
A1DJ52	
A1DJ68	
A1DNU5	
A2Q7I0	GH11;
A2QFV7	GH10;
A2R4D1	
A6YAP7	GH11;
B0XXD9	
B0XXF3	
B0Y6E0	
B0Y8Q8	
B2AC12	CBM1;GH11;
B3PIN1	CBM10;CBM60;GH11;
B5A7N4	GH11;
B6QNP6	
B8M5E1	
B8MH80	
B8NER4	
B8NJ86	
B8NKE9	
B8NXJ2	
C5J411	GH10;
D5UGI1	CBM2;GH10;GH11;
D5UL25	CBM2;GH10;GH62;
D9XAI6	
E6TXK9	
F4JG10	CBM22;GH10;
G0R947	
G0RA32	
G2X0L1	
G2X4G1	
G2X5X8	
G2X8M4	
G4MPQ7	CBM1;GH10;
G4MTF8	GH10;
G4MWS3	GH11;
G4NA54	GH11;
G8LZS6	
G9FXH4	
J7FK35	
K4QUN3	
K5X1T9	
K9GHZ3	
L2G4N5	
O59859	GH10;
O60206	GH10;
O69230	CBM22;CBM9;GH10;
O74717	GH10;
O97402	GH11;
P00694	GH11;
P07528	GH10;
P07529	GH10;
P09850	GH11;
P0CT49	
P10478	CBM6;GH10;
P14768	CBM10;CBM2;GH10;
P18429	GH11;
P23551	GH10;
P23556	GH10;
P23660	GH5;
P26223	GH10;
P29126	GH10;GH11;
P29127	GH11;
P33558	CBM6;GH11;
P35809	GH11;
P35811	GH11;
P40942	GH10;
P40943	GH10;
P48824	GH11;
P51584	CBM22;GH10;
P55328	GH11;
P55331	GH11;
P79046	CBM1;GH10;
P81536	GH11;
P87037	GH11;
Q06562	GH11;
Q0CBM8	
Q0CFS3	
Q0H904	GH10;
Q0ZHI9	GH11;
Q12549	GH11;
Q12562	GH11;
Q12603	GH10;
Q1K5S8	
Q21G61	CBM10;CBM60;GH11;
Q4JHP5	GH10;
Q4P902	
Q4WFZ8	
Q4WLV2	
Q5S7A8	GH10;
Q60037	CBM22;CBM9;GH10;
Q60042	CBM22;CBM9;GH10;
Q680B7	CBM22;GH10;
Q6QJ75	GH11;
Q84WT5	CBM22;GH10;
Q871E8	CBM1;GH11;
Q8VP72	CBM60;GH11;
Q92244	GH11;
Q92245	
Q96TR7	GH11;
Q96UV7	CBM1;GH11;
Q9HEY9	CBM1;GH11;
Q9HEZ0	CBM1;GH11;
Q9HEZ2	CBM1;GH10;
Q9HGE1	GH11;
Q9RI72	GH11;
Q9S310	CBM22;GH11;GH16;
Q9X583	CBM13;GH10;GH62;
S4NAS4	
T0R673	
U5HTZ3	
V9XVA4	
W0HFK8	GH10;
W4QLG4	
W8DY44	
W8VTF2	
W8VY27	
A0A010Q216	
A0A010QA10	
A0A010QFZ9	
A0A010QGI7	
A0A010R4V2	
A0A010RJ28	
A0A010RNV3	
A0A010S4E2	
A0A010S5F1	
A0A010SFW1	
A0A011VXJ4	
A0A011VXT8	
A0A011VXX3	
A0A011VZW3	
A0A011WK81	
A0A011WKL1	
A0A011WKN5	
A0A011WPY7	
A0A017RZL4	
A0A017RZT4	
A0A017SKJ3	
A0A021VVJ3	
A0A023LKZ5	
A0A023LL64	
A0A023LLX4	
A0A023UHZ1	
A0A023UI01	
A0A023UIJ9	
A0A023UIK4	
A0A023UIL0	
A0A023UJA2	
A0A023UJV5	
A0A023UJW1	
A0A023UKD2	
A0A023WHG7	
A0A024FRL8	
A0A024FRX8	
A0A024FS83	
A0A024FSH9	
A0A024RV70	
A0A059DZQ5	
A0A059P9J8	
A0A059VCI6	
A0A059VML8	
A0A060C5U4	
A0A060CA36	
A0A060CFD1	
A0A060CFN4	
A0A060D2N9	
A0A060I4B6	
A0A060IU57	
A0A060S455	
A0A060SAN9	
A0A060SIX2	
A0A060SKX2	
A0A060SLX1	
A0A060SSH9	
A0A060ZGG7	
A0A060ZR00	
A0A061AB80	
A0A061H400	
A0A062UA02	
A0A062UHV8	
A0A063CDU7	
A0A066TR01	
A0A066TR09	
A0A066U7H1	
A0A066U954	
A0A066UJC4	
A0A066WI51	
A0A066WSD9	
A0A066X4Y3	
A0A066X514	
A0A066X5E2	
A0A066X979	
A0A066X9Z0	
A0A066XFB3	
A0A066XFF1	
A0A066XGR6	
A0A066XLZ4	
A0A066XNB0	
A0A066XNH3	
A0A066XQM7	
A0A066XRL9	
A0A066XTH8	
A0A066YQQ6	
A0A066YZV3	
A0A066ZBI8	
A0A067LWV2	
A0A067LXA3	
A0A067M512	
A0A067M5X3	
A0A067MA59	
A0A067MDZ4	
A0A067MJC5	
A0A067MLI4	
A0A067N8W3	
A0A067NH24	
A0A067NJY6	
A0A067NLD3	
A0A067P3W7	
A0A067PAJ8	
A0A067PIN4	
A0A067PQN8	
A0A067Q3F8	
A0A067Q3G4	
A0A067SKV0	
A0A067SLC7	
A0A067SLG2	
A0A067SLJ8	
A0A067SLL2	
A0A067SVM0	
A0A067SYB1	
A0A067SYD9	
A0A067SYJ3	
A0A067SYJ6	
A0A067SYQ9	
A0A067T7X1	
A0A067T8T0	
A0A067TFD4	
A0A067TRP9	
A0A067TSS6	
A0A067XRW0	
A0A068Q818	
A0A069D2B9	
A0A069D4U4	
A0A069D718	
A0A069SJK2	
A0A072PNC2	
A0A072UFN4	
A0A074KRV8	
A0A074KXV6	
A0A074KZY4	
A0A074RMY9	
A0A074RPG0	
A0A074RR29	
A0A074RYA2	
A0A074SAC4	
A0A074SBD6	
A0A074SQY6	
A0A074SWE3	
A0A074VSG2	
A0A074VWQ5	
A0A074VWZ6	
A0A074W685	
A0A074W6H4	
A0A074W9I9	
A0A074W9S9	
A0A074WCG6	
A0A074WF16	
A0A074WPG8	
A0A074WQ49	
A0A074WX74	
A0A074WYL9	
A0A074X0W6	
A0A074XAA6	
A0A074XAB5	
A0A074XE39	
A0A074XMS4	
A0A074XWT4	
A0A074XX86	
A0A074Y8B7	
A0A074YCQ5	
A0A074YDU5	
A0A074YWD6	
A0A074ZAX2	
A0A074ZM78	
A0A075DMY8	
A0A075EEX4	
A0A075R4V9	
A0A075UPX3	
A0A075WJH8	
A0A076J009	
A0A076Q0B2	
A0A077R361	
A0A078KUE5	
A0A078R131	
A0A080Z6B1	
A0A080Z6B5	
A0A080ZB64	
A0A081AVG4	
A0A081CI12	
A0A081LE18	
A0A081LEY6	
A0A081XX26	
A0A081XZT6	
A0A081Y026	
A0A084ACV1	
A0A084AFT1	
A0A084AHD3	
A0A084ALV5	
A0A084AXT8	
A0A084AYW9	
A0A084B180	
A0A084B340	
A0A084B678	
A0A084BAE5	
A0A084BB55	
A0A084BB70	
A0A084BB85	
A0A084BBN4	
A0A084EG69	
A0A084EK27	
A0A084FVQ9	
A0A084G006	
A0A084G438	
A0A084G683	
A0A084G6D8	
A0A084G701	
A0A084G7T7	
A0A084G8R6	
A0A084GDZ4	
A0A084GEV1	
A0A084GH03	
A0A084GHC3	
A0A084JFE8	
A0A084Q8F7	
A0A084QB98	
A0A084QGK7	
A0A084QLS5	
A0A084QRV2	
A0A084QUG5	
A0A084QV61	
A0A084QZ79	
A0A084QZK0	
A0A084R055	
A0A084R0Z4	
A0A084R1X9	
A0A084R2Y3	
A0A084U8G6	
A0A084U8H2	
A0A085Z1J3	
A0A085Z5V1	
A0A085ZMK7	
A0A086MT44	
A0A086N3T9	
A0A086STL7	
A0A086SY78	
A0A086SY89	
A0A086T0A3	
A0A086T856	
A0A086TBD5	
A0A087A2Y4	
A0A087ABF6	
A0A087AMP3	
A0A087BK33	
A0A087CMF7	
A0A087D065	
A0A087DBT4	
A0A087DDQ4	
A0A087DX12	
A0A087E2Y9	
A0A088B2F2	
A0A088BC14	
A0A088MAZ4	
A0A088RH19	
A0A088S933	
A0A088SQN4	
A0A089L610	
A0A089L8S4	
A0A089M8T4	
A0A089MX02	
A0A089NWA1	
A0A089X2S1	
A0A089X3Q9	
A0A089XBK1	
A0A089XDP9	
A0A089Z254	
A0A090CB68	
A0A090CP78	
A0A090MKT8	
A0A090VD06	
A0A090VH06	
A0A090WXU7	
A0A090Y644	
A0A090Y662	
A0A090Y6T5	
A0A090Z5C8	
A0A090ZJH0	
A0A093V4C2	
A0A093X9W4	
A0A093Y588	
A0A096PED0	
A0A096PEY8	
A0A097CT49	
A0A097CTD0	
A0A097EJ24	
A0A097GSM2	
A0A098D6W9	
A0A098DCZ3	
A0A098LD54	
A0A098LD78	
A0A098LFJ9	
A0A098LI31	
A0A098M670	
A0A098MAL3	
A0A098QXN5	
A0A098S366	
A0A098YBY1	
A0A099D5H6	
A0A099D7C2	
A0A0A0B4D5	
A0A0A0B669	
A0A0A0B6T6	
A0A0A0B7Q2	
A0A0A0B7T0	
A0A0A0BL00	
A0A0A0BLU8	
A0A0A0BS06	
A0A0A0BTJ4	
A0A0A0BWJ6	
A0A0A0BWX6	
A0A0A0BXH2	
A0A0A0C1E2	
A0A0A0N8F8	
A0A0A0NAB5	
A0A0A0NSD1	
A0A0A0WJP7	
A0A0A0YZE1	
A0A0A1CLH0	
A0A0A1CM17	
A0A0A1CM37	
A0A0A1CNW1	
A0A0A1I5P8	
A0A0A1I5Q1	
A0A0A1I5Q3	
A0A0A1I5Q5	
A0A0A1I5Q7	
A0A0A1I5Q8	
A0A0A1I5X4	
A0A0A1I5X6	
A0A0A1I5X7	
A0A0A1I5X9	
A0A0A1I5Y0	
A0A0A1I636	
A0A0A1I637	
A0A0A1I638	
A0A0A1I639	
A0A0A1I640	
A0A0A1I641	
A0A0A1I661	
A0A0A1I662	
A0A0A1I663	
A0A0A1I664	
A0A0A1I665	
A0A0A1I666	
A0A0A1I687	
A0A0A1I688	
A0A0A1I689	
A0A0A1I690	
A0A0A1I691	
A0A0A1I692	
A0A0A1UJD6	
A0A0A2JGK0	
A0A0A2JTV6	
A0A0A2JV86	
A0A0A2KIU5	
A0A0A2KTJ9	
A0A0A2L2L1	
A0A0A2LQX3	
A0A0A3I5I5	
A0A0A3Y2L7	
A0A0A6UIB2	
A0A0A6UKM2	
A0A0A6UKP4	
A0A0A6UL38	
A0A0A6UN41	
A0A0A6USV8	
A0A0A6XAP1	
A0A0A6YDC8	
A0A0A7CMG4	
A0A0A7CMT8	
A0A0A7DNY2	
A0A0A7DNY3	
A0A0A7DP40	
A0A0A7DP41	
A0A0A7DPB5	
A0A0A7DPG7	
A0A0A7KWF9	
A0A0A8LEA9	
A0A0A8LEB0	
A0A0A8LEB1	
A0A0A8LEB2	
A0A0A8LEB3	
A0A0A8LEB4	
A0A0A8LEB5	
A0A0A8LEB6	
A0A0A8LEB7	
A0A0A8LEB8	
A0A0A8LEB9	
A0A0A8LEC0	
A0A0A8LEC1	
A0A0A8LEC2	
A0A0A8LEC3	
A0A0A8LEC4	
A0A0A8LEC9	
A0A0A8LED3	
A0A0A8LED5	
A0A0A8LED9	
A0A0A8LEE1	
A0A0A8LEY3	
A0A0A8LEZ0	
A0A0A8LF02	
A0A0A8LF22	
A0A0A8LF26	
A0A0A8LF29	
A0A0A8LF32	
A0A0A8LF34	
A0A0A8LF36	
A0A0A8LF39	
A0A0A8LF84	
A0A0A8LF91	
A0A0A8LF97	
A0A0A8LFC0	
A0A0A8LFC7	
A0A0A8LFD1	
A0A0A8LFD4	
A0A0A8LFD7	
A0A0A8LFD9	
A0A0A8LFE4	
A0A0A8LFE7	
A0A0A8LFH4	
A0A0A8LFI1	
A0A0A8LFI8	
A0A0A8LFJ4	
A0A0A8LFK2	
A0A0A8LFM2	
A0A0A8LFN2	
A0A0A8LFN4	
A0A0A8LFP1	
A0A0A8LFP6	
A0A0A8LFQ0	
A0A0A8XB79	
A0A0B0IH01	
A0A0B2A214	
A0A0B2AJR2	
A0A0B4D6A2	
A0A0B4D6I1	
A0A0B4N0R7	
A0A0B4SY17	
A0A0B4UJS8	
A0A0B4UJV3	
A0A0B4ZVZ7	
A0A0B4ZXY3	
A0A0B4ZZ86	
A0A0B5D7I2	
A0A0B5DFS3	
A0A0B5DRJ6	
A0A0B5I8Y8	
A0A0B5IDT6	
A0A0B5IKX9	
A0A0B5JRQ1	
A0A0B5QSY8	
A0A0B6WWM4	
A0A0B6WXX8	
A0A0B7FEM0	
A0A0B7FIT9	
A0A0B7FL48	
A0A0B7FLI3	
A0A0B7FZM9	
A0A0B7G4I5	
A0A0B7JME7	
A0A0B7JUN8	
A0A0B7JZU0	
A0A0B7JZY3	
A0A0B7K2D5	
A0A0B7KBM5	
A0A0B7KFJ8	
A0A0B7KN37	
A0A0B8MY55	
A0A0B9A5E0	
A0A0C1N9A6	
A0A0C1R701	
A0A0C2FCQ0	
A0A0C2FMV6	
A0A0C2G326	
A0A0C2G789	
A0A0C2IJV2	
A0A0C2IVZ3	
A0A0C2J298	
A0A0C2J4N9	
A0A0C2J916	
A0A0C2VYD6	
A0A0C2W5W6	
A0A0C2WGW7	
A0A0C2WKL2	
A0A0C2WUY2	
A0A0C2WVS2	
A0A0C2X2W6	
A0A0C2XRV6	
A0A0C3AEJ7	
A0A0C3APQ2	
A0A0C3APY7	
A0A0C3ASR8	
A0A0C3AV54	
A0A0C3AWY7	
A0A0C3BHA6	
A0A0C3C5A0	
A0A0C3C8X3	
A0A0C3CXD1	
A0A0C3CZX7	
A0A0C3DM83	
A0A0C3GQT2	
A0A0C3GUA3	
A0A0C3GUV7	
A0A0C3GX81	
A0A0C3H1N7	
A0A0C3I2L8	
A0A0C3K4W3	
A0A0C3L0X6	
A0A0C3L461	
A0A0C3L474	
A0A0C3L5Q7	
A0A0C3LJD3	
A0A0C3M127	
A0A0C3M4M2	
A0A0C3M8T4	
A0A0C3MAX0	
A0A0C3PQG5	
A0A0C3PSV0	
A0A0C3PT11	
A0A0C3PW60	
A0A0C3Q0I9	
A0A0C3Q9W1	
A0A0C3QAN2	
A0A0C3QHZ9	
A0A0C3QRC6	
A0A0C3QTL2	
A0A0C3QV28	
A0A0C3RVI8	
A0A0C3S726	
A0A0C3S735	
A0A0C4DHX2	
A0A0C4DHY0	
A0A0C4DHY5	
A0A0C4DJ02	
A0A0C4DJ09	
A0A0C4DX37	
A0A0C4DXG1	
A0A0C4E871	
A0A0C4E9J4	
A0A0C4E9K7	
A0A0C4E9T9	
A0A0C4EAA2	
A0A0C4EFN3	
A0A0C4JZH7	
A0A0C4K5J5	
A0A0C5FLT0	
A0A0C5FX40	
A0A0C5G8L2	
A0A0C5GJG4	
A0A0C5GN06	
A0A0C5LDI6	
A0A0C5VFC5	
A0A0C5VMR6	
A0A0C5VNY6	
A0A0C5VPR1	
A0A0C5W0K8	
A0A0C7P426	
A0A0C7QW66	
A0A0C7R0V5	
A0A0C9SYM6	
A0A0C9T768	
A0A0C9TKB5	
A0A0C9TXE9	
A0A0C9U1U3	
A0A0C9U1Z5	
A0A0C9U4U5	
A0A0C9UH34	
A0A0C9UMY0	
A0A0C9VHR3	
A0A0C9VSN2	
A0A0C9WFI8	
A0A0D0AVN7	
A0A0D0B1Z5	
A0A0D0BRZ6	
A0A0D0CBQ2	
A0A0D0CCP0	
A0A0D0CM00	
A0A0D0CQ39	
A0A0D0D2W5	
A0A0D0DD62	
A0A0D0EK49	
A0A0D0HV73	
A0A0D0PUX3	
A0A0D0Q3Y1	
A0A0D0Q6P7	
A0A0D0V0Z9	
A0A0D0VX03	
A0A0D0W003	
A0A0D0WSI8	
A0A0D0X5T5	
A0A0D0X797	
A0A0D0X7D9	
A0A0D1C055	
A0A0D1MRA9	
A0A0D1Y676	
A0A0D2EVB0	
A0A0D2F043	
A0A0D2FHA9	
A0A0D2G6R6	
A0A0D2H7L2	
A0A0D2IBH1	
A0A0D2IJF3	
A0A0D2IRZ7	
A0A0D2J362	
A0A0D2KHB4	
A0A0D2KY92	
A0A0D2L0V8	
A0A0D2LUJ2	
A0A0D2LUJ8	
A0A0D2MMG7	
A0A0D2N526	
A0A0D2N5R2	
A0A0D2NPF3	
A0A0D2NXE2	
A0A0D2XJN6	
A0A0D2XM18	
A0A0D2Y051	
A0A0D3KWH5	
A0A0D3MCG8	
A0A0D3MCH9	
A0A0D3MCI8	
A0A0D3MCN0	
A0A0D3MDV8	
A0A0D5CIA5	
A0A0D5CJI4	
A0A0D5ZBC0	
A0A0D6ZZ89	
A0A0D7AD19	
A0A0D7ATV3	
A0A0D7B487	
A0A0D7BKS2	
A0A0D7WUB7	
A0A0D7X7S4	
A0A0D8BRK4	
A0A0D8BZR4	
A0A0D8J8D8	
A0A0D8JE17	
A0A0D8JE23	
A0A0E3UW00	
A0A0E3Z086	
A0A0E3Z5J6	
A0A0E3Z6A1	
A0A0E3ZRT9	
A0A0E3ZTH5	
A0A0E3ZYL1	
A0A0E4BSZ9	
A0A0E4CYH0	
A0A0E4CYH5	
A0A0E4H7R5	
A0A0E8V0I8	
A0A0E9M0G7	
A0A0E9MWT2	
A0A0F0FYR5	
A0A0F0G760	
A0A0F0GHC2	
A0A0F0GKC7	
A0A0F0H8T7	
A0A0F0HBN2	
A0A0F0HYW7	
A0A0F0I9K9	
A0A0F0IIV0	
A0A0F0IKA4	
A0A0F0ILF7	
A0A0F0LB63	
A0A0F2LVS8	
A0A0F2MDF4	
A0A0F2MEF2	
A0A0F2MGT2	
A0A0F2MHB9	
A0A0F2T6P2	
A0A0F2TK68	
A0A0F4GAI1	
A0A0F4GBF9	
A0A0F4GQR6	
A0A0F4YIA9	
A0A0F4Z1I8	
A0A0F4ZBJ5	
A0A0F4ZCL8	
A0A0F4ZDR6	
A0A0F4ZF04	
A0A0F4ZHJ3	
A0A0F4ZI52	
A0A0F5Q162	
A0A0F6MV31	
A0A0F7CNZ4	
A0A0F7FQB7	
A0A0F7FRU1	
A0A0F7FVF4	
A0A0F7MX47	
A0A0F7MYK0	
A0A0F7N1T1	
A0A0F7RSE8	
A0A0F7RYC0	
A0A0F7TGK0	
A0A0F7TGW5	
A0A0F7TQZ8	
A0A0F7TSC4	
A0A0F7VAK5	
A0A0F7VCN8	
A0A0F7VMY3	
A0A0F7VU23	
A0A0F7VV35	
A0A0F7VZ49	
A0A0F7W6V9	
A0A0F8AZX7	
A0A0F8CUH4	
A0A0F8TWD9	
A0A0F8UAZ0	
A0A0F8V101	
A0A0F8V9L3	
A0A0F8WP74	
A0A0F8WZH1	
A0A0F9X8A4	
A0A0F9XA32	
A0A0F9XF05	
A0A0F9XXA4	
A0A0F9Y0Y9	
A0A0G0A171	
A0A0G1AWN0	
A0A0G1AYG0	
A0A0G2DRZ9	
A0A0G2E4X5	
A0A0G2EI29	
A0A0G2ERY0	
A0A0G2FCH0	
A0A0G2FED1	
A0A0G2FQ17	
A0A0G2G792	
A0A0G2GGJ7	
A0A0G2H9G9	
A0A0G2HS81	
A0A0G2HU59	
A0A0G2HVY0	
A0A0G2HW23	
A0A0G2YH69	
A0A0G3EUT2	
A0A0G4EBZ6	
A0A0G4EHQ7	
A0A0G4EI71	
A0A0G4EQ49	
A0A0G4ER04	
A0A0G4EST3	
A0A0G4F302	
A0A0G4FH44	
A0A0G4G5L3	
A0A0G4G604	
A0A0G4G667	
A0A0G4G6H0	
A0A0G4GB25	
A0A0G4GBQ5	
A0A0G4KFG4	
A0A0G4KM66	
A0A0G4KMD9	
A0A0G4KR99	
A0A0G4KY68	
A0A0G4L2X7	
A0A0G4L9H0	
A0A0G4LGM7	
A0A0G4LHW8	
A0A0G4LLP6	
A0A0G4LPW8	
A0A0G4LQ32	
A0A0G4LQU7	
A0A0G4LRV6	
A0A0G4LVW4	
A0A0G4M8S9	
A0A0G4MD02	
A0A0G4MV74	
A0A0G4MY24	
A0A0G4N1M4	
A0A0G4NJD7	
A0A0G4P1T4	
A0A0G4P4H3	
A0A0G4PE64	
A0A0G4PME7	
A0A0H0XN25	
A0A0H2KSH9	
A0A0H2KZS8	
A0A0H2R4I6	
A0A0H2RF24	
A0A0H2RG12	
A0A0H2RVH4	
A0A0H2RZ45	
A0A0H2SLH4	
A0A0H2TLN3	
A0A0H2XCE8	
A0A0H2XEH3	
A0A0H3CAY5	
A0A0H3CBI1	
A0A0H3CYP1	
A0A0H3D4B7	
A0A0H3D645	
A0A0H3D654	
A0A0H3D9S3	
A0A0H3DB91	
A0A0H3DDB2	
A0A0H3DEV6	
A0A0H3JZ48	
A0A0H3L2Z1	
A0A0H3U7X0	
A0A0H3UCP8	
A0A0H3UCW7	
A0A0H3V5F9	
A0A0H4LM55	
A0A0H4T200	
A0A0H5SEM7	
A0A0H5SGJ0	
A0A0H5SGZ4	
A0A0H5SUD7	
A0A0H5SWS9	
A0A0I9ULG3	
A0A0I9X995	
A0A0I9XFD1	
A0A0I9YFZ1	
A0A0I9ZMK0	
A0A0J1B3P3	
A0A0J7YXK0	
A0A0J7YXK2	
A0A0J7Z2Z6	
A0A0J7ZJZ8	
A0A0J8BZ22	
A0A0J9CVG5	
A0A0J9FWR4	
A0A0J9UMD0	
A0A0J9UNX2	
A0A0J9USD7	
A0A0J9VBX6	
A0A0J9VV44	
A0A0J9VYZ3	
A0A0J9W5R9	
A0A0J9WCQ4	
A0A0J9WCR8	
A0A0K0GG85	
A0A0K2ARG3	
A0A0K2AZT5	
A0A0K2FHD1	
A0A0K2ZWC6	
A0A0K2ZZE2	
A0A0K2ZZE9	
A0A0K3A1E7	
A0A0K3A9X5	
A0A0K6FLR6	
A0A0K6FM91	
A0A0K6FN87	
A0A0K6FNR6	
A0A0K6FSI6	
A0A0K6FTC7	
A0A0K6FTH6	
A0A0K6G0B3	
A0A0K6G0H2	
A0A0K6G2B5	
A0A0K6GE70	
A0A0K6GEZ1	
A0A0K8J3V1	
A0A0K8J406	
A0A0K8J434	
A0A0K8J440	
A0A0K8J5V7	
A0A0K8J6G6	
A0A0K8J798	
A0A0K8PF67	
A0A0K8PIF8	
A0A0K8PXF3	
A0A0K8Q0T8	
A0A0L0JRW9	
A0A0L0JYE0	
A0A0L0JZR9	
A0A0L0KD81	
A0A0L0KEL4	
A0A0L0T0A2	
A0A0L0T0B6	
A0A0L0T0D1	
A0A0L0TCF1	
A0A0L0TCY2	
A0A0L0V2H9	
A0A0L0V3G4	
A0A0L0VI77	
A0A0L0VRR8	
A0A0L0VZW7	
A0A0L1J7L4	
A0A0L1JB51	
A0A0L1JD83	
A0A0L1JEY8	
A0A0L1JH05	
A0A0L6JJI3	
A0A0L6JJL7	
A0A0L6JJW3	
A0A0L6JK40	
A0A0L6JKD1	
A0A0L6JKD6	
A0A0L6JKT3	
A0A0L6JPT6	
A0A0L6JQ41	
A0A0L6JQ61	
A0A0L6JR17	
A0A0L6JRS4	
A0A0L6JRZ7	
A0A0L6JS51	
A0A0L6JWU8	
A0A0L6UVF1	
A0A0L6V3D3	
A0A0L8IVT3	
A0A0L8JAH6	
A0A0L8JAK2	
A0A0L8JAK8	
A0A0L8L0D1	
A0A0L8L1H4	
A0A0L8L8K0	
A0A0L8LGJ4	
A0A0L8V917	
A0A0M0F923	
A0A0M0FBX0	
